1.838, {'ABCD': 0, 'BC': 565, 'DE': 653, 'AB': 122, 'FG': 17, 'EH': 25, 'A': 60850, 'C': 52862, 'B': 32712, 'E': 59708, 'D': 41108, 'G': 51712, 'F': 32694, 'H': 41054, 'EF': 13, 'CF': 293, 'CD': 357, 'EFGH': 0, 'AD': 641, 'GH': 29, 'CDEF': 0, 'ABCDEFGH': 0}
1.909, {'ABCD': 0, 'BC': 529, 'DE': 680, 'AB': 110, 'FG': 11, 'EH': 22, 'A': 60904, 'C': 52748, 'B': 30966, 'E': 59679, 'D': 40688, 'G': 51547, 'F': 30952, 'H': 40638, 'EF': 26, 'CF': 283, 'CD': 391, 'EFGH': 0, 'AD': 673, 'GH': 16, 'CDEF': 0, 'ABCDEFGH': 0}
1.980, {'ABCD': 0, 'BC': 494, 'DE': 647, 'AB': 119, 'FG': 8, 'EH': 28, 'A': 60948, 'C': 53369, 'B': 28882, 'E': 59818, 'D': 40153, 'G': 52246, 'F': 28869, 'H': 40099, 'EF': 24, 'CF': 253, 'CD': 391, 'EFGH': 0, 'AD': 641, 'GH': 13, 'CDEF': 0, 'ABCDEFGH': 0}
2.051, {'ABCD': 0, 'BC': 482, 'DE': 668, 'AB': 108, 'FG': 7, 'EH': 23, 'A': 59584, 'C': 53466, 'B': 26837, 'E': 58472, 'D': 40289, 'G': 52312, 'F': 26828, 'H': 40225, 'EF': 16, 'CF': 259, 'CD': 423, 'EFGH': 0, 'AD': 649, 'GH': 27, 'CDEF': 0, 'ABCDEFGH': 0}
2.121, {'ABCD': 0, 'BC': 477, 'DE': 594, 'AB': 106, 'FG': 13, 'EH': 20, 'A': 59513, 'C': 54179, 'B': 25027, 'E': 58423, 'D': 39593, 'G': 53039, 'F': 25021, 'H': 39547, 'EF': 13, 'CF': 276, 'CD': 444, 'EFGH': 0, 'AD': 587, 'GH': 14, 'CDEF': 0, 'ABCDEFGH': 0}
2.192, {'ABCD': 0, 'BC': 428, 'DE': 634, 'AB': 91, 'FG': 11, 'EH': 20, 'A': 59340, 'C': 54691, 'B': 23253, 'E': 58210, 'D': 39324, 'G': 53557, 'F': 23251, 'H': 39267, 'EF': 6, 'CF': 234, 'CD': 480, 'EFGH': 0, 'AD': 627, 'GH': 17, 'CDEF': 0, 'ABCDEFGH': 0}
2.263, {'ABCD': 0, 'BC': 391, 'DE': 626, 'AB': 94, 'FG': 16, 'EH': 15, 'A': 58992, 'C': 54540, 'B': 21552, 'E': 57945, 'D': 39210, 'G': 53462, 'F': 21546, 'H': 39174, 'EF': 12, 'CF': 207, 'CD': 457, 'EFGH': 0, 'AD': 617, 'GH': 19, 'CDEF': 0, 'ABCDEFGH': 0}
2.333, {'ABCD': 0, 'BC': 400, 'DE': 597, 'AB': 99, 'FG': 10, 'EH': 21, 'A': 58558, 'C': 55193, 'B': 19839, 'E': 57468, 'D': 38446, 'G': 54135, 'F': 19834, 'H': 38401, 'EF': 12, 'CF': 197, 'CD': 482, 'EFGH': 0, 'AD': 590, 'GH': 15, 'CDEF': 0, 'ABCDEFGH': 0}
2.404, {'ABCD': 0, 'BC': 379, 'DE': 621, 'AB': 100, 'FG': 9, 'EH': 28, 'A': 58148, 'C': 55529, 'B': 18355, 'E': 57063, 'D': 38492, 'G': 54452, 'F': 18351, 'H': 38447, 'EF': 6, 'CF': 200, 'CD': 532, 'EFGH': 0, 'AD': 610, 'GH': 18, 'CDEF': 0, 'ABCDEFGH': 0}
2.475, {'ABCD': 0, 'BC': 355, 'DE': 605, 'AB': 94, 'FG': 4, 'EH': 21, 'A': 57946, 'C': 55589, 'B': 16907, 'E': 56874, 'D': 38019, 'G': 54523, 'F': 16898, 'H': 37985, 'EF': 12, 'CF': 190, 'CD': 524, 'EFGH': 0, 'AD': 602, 'GH': 24, 'CDEF': 0, 'ABCDEFGH': 0}
2.545, {'ABCD': 0, 'BC': 332, 'DE': 665, 'AB': 98, 'FG': 10, 'EH': 20, 'A': 57951, 'C': 56209, 'B': 15625, 'E': 56833, 'D': 38286, 'G': 55171, 'F': 15615, 'H': 38241, 'EF': 13, 'CF': 193, 'CD': 543, 'EFGH': 0, 'AD': 658, 'GH': 14, 'CDEF': 0, 'ABCDEFGH': 0}
2.616, {'ABCD': 0, 'BC': 295, 'DE': 613, 'AB': 112, 'FG': 4, 'EH': 20, 'A': 57484, 'C': 56675, 'B': 14350, 'E': 56422, 'D': 38009, 'G': 55661, 'F': 14347, 'H': 37972, 'EF': 6, 'CF': 157, 'CD': 514, 'EFGH': 0, 'AD': 605, 'GH': 18, 'CDEF': 0, 'ABCDEFGH': 0}
2.687, {'ABCD': 0, 'BC': 284, 'DE': 604, 'AB': 108, 'FG': 9, 'EH': 13, 'A': 56652, 'C': 57176, 'B': 13569, 'E': 55607, 'D': 37824, 'G': 56151, 'F': 13567, 'H': 37783, 'EF': 5, 'CF': 147, 'CD': 583, 'EFGH': 0, 'AD': 590, 'GH': 15, 'CDEF': 0, 'ABCDEFGH': 0}
